iter	Passed	Remaining
0	7	7892
1	15	7742
2	23	7776
3	30	7680
4	37	7434
5	44	7409
6	52	7385
7	58	7303
8	65	7162
9	71	7080
10	77	6979
11	83	6875
12	89	6762
13	95	6755
14	103	6786
15	110	6783
16	116	6725
17	122	6658
18	127	6591
19	133	6529
20	138	6474
21	144	6405
22	149	6354
23	156	6347
24	162	6351
25	169	6354
26	176	6361
27	182	6330
28	258	8640
29	298	9645
30	303	9502
31	309	9373
32	316	9276
33	323	9184
34	330	9119
35	338	9058
36	343	8950
37	350	8884
38	357	8814
39	363	8723
40	370	8659
41	378	8622
42	384	8553
43	390	8486
44	398	8450
45	406	8427
46	412	8363
47	418	8295
48	424	8236
49	430	8172
50	436	8113
51	441	8057
52	448	8006
53	453	7944
54	475	8162
55	481	8108
56	486	8053
57	492	8000
58	498	7945
59	505	7915
60	511	7866
61	516	7818
62	521	7763
63	527	7717
64	534	7687
65	542	7674
66	549	7652
67	555	7613
68	561	7571
69	566	7530
70	572	7492
71	578	7457
72	584	7416
73	589	7376
74	595	7341
75	601	7314
76	607	7286
77	615	7269
78	621	7247
79	627	7210
80	632	7176
81	638	7149
82	644	7117
83	649	7085
84	656	7062
85	662	7036
86	668	7014
87	675	6998
88	682	6986
89	688	6959
90	693	6927
91	699	6900
92	704	6872
93	710	6845
94	716	6826
95	722	6805
96	728	6785
97	736	6782
98	743	6767
99	749	6744
100	754	6719
101	760	6694
102	765	6669
103	771	6644
104	777	6629
105	784	6612
106	791	6604
107	797	6589
108	803	6568
109	809	6546
110	814	6524
111	820	6505
112	826	6483
113	831	6461
114	839	6460
115	848	6467
116	856	6467
117	862	6447
118	869	6434
119	876	6425
120	882	6411
121	888	6392
122	893	6373
123	900	6363
124	906	6348
125	914	6343
126	920	6325
127	925	6304
128	930	6284
129	936	6266
130	942	6249
131	947	6231
132	953	6212
133	959	6199
134	966	6195
135	973	6185
136	979	6168
137	984	6152
138	990	6135
139	995	6115
140	1001	6099
141	1006	6082
142	1012	6065
143	1018	6055
144	1026	6050
145	1033	6045
146	1039	6030
147	1045	6016
148	1050	6002
149	1056	5986
150	1061	5971
151	1067	5954
152	1072	5939
153	1078	5927
154	1085	5918
155	1094	5921
156	1100	5911
157	1106	5897
158	1112	5883
159	1118	5869
160	1123	5853
161	1130	5846
162	1135	5831
163	1142	5821
164	1149	5816
165	1157	5814
166	1162	5800
167	1168	5786
168	1173	5772
169	1179	5758
170	1184	5744
171	1190	5730
172	1195	5716
173	1202	5708
174	1209	5701
175	1216	5697
176	1223	5688
177	1229	5677
178	1234	5664
179	1240	5652
180	1246	5640
181	1251	5627
182	1257	5613
183	1264	5606
184	1271	5602
185	1279	5600
186	1285	5587
187	1290	5574
188	1299	5577
189	1306	5568
190	1350	5721
191	1356	5708
192	1361	5694
193	1369	5688
194	1376	5684
195	1389	5700
196	1397	5695
197	1402	5682
198	1408	5669
199	1414	5656
200	1420	5644
201	1426	5634
202	1431	5620
203	1437	5608
204	1444	5601
205	1450	5592
206	1458	5586
207	1464	5577
208	1470	5565
209	1476	5553
210	1482	5542
211	1488	5533
212	1494	5521
213	1500	5511
214	1508	5506
215	1515	5499
216	1523	5495
217	1529	5486
218	1535	5475
219	1541	5464
220	1547	5455
221	1553	5444
222	1559	5435
223	1567	5431
224	1574	5424
225	1581	5415
226	1587	5404
227	1592	5392
228	1598	5382
229	1604	5372
230	1610	5360
231	1616	5350
232	1622	5340
233	1629	5334
234	1636	5327
235	1643	5320
236	1649	5310
237	1655	5299
238	1660	5287
239	1666	5277
240	1672	5266
241	1678	5257
242	1683	5245
243	1691	5239
244	1697	5230
245	1703	5221
246	1710	5213
247	1716	5204
248	1721	5192
249	1727	5181
250	1733	5173
251	1739	5162
252	1744	5151
253	1751	5145
254	1758	5137
255	1766	5132
256	1771	5122
257	1777	5111
258	1782	5100
259	1788	5090
260	1794	5080
261	1800	5070
262	1806	5062
263	1812	5054
264	1819	5046
265	1827	5042
266	1833	5034
267	1840	5027
268	1846	5017
269	1852	5007
270	1857	4997
271	1863	4987
272	1870	4981
273	1877	4975
274	1885	4969
275	1891	4961
276	1897	4953
277	1903	4943
278	1909	4934
279	1916	4927
280	1922	4920
281	1928	4910
282	1934	4900
283	1939	4890
284	1946	4883
285	1954	4878
286	1962	4875
287	1968	4867
288	1974	4858
289	1981	4851
290	1989	4846
291	1995	4837
292	2000	4827
293	2007	4821
294	2014	4814
295	2023	4812
296	2030	4806
297	2036	4797
298	2041	4787
299	2047	4778
300	2053	4769
301	2059	4759
302	2065	4750
303	2071	4742
304	2078	4736
305	2086	4732
306	2092	4724
307	2099	4717
308	2105	4708
309	2111	4699
310	2117	4690
311	2122	4681
312	2129	4673
313	2135	4666
314	2142	4659
315	2148	4651
316	2157	4647
317	2162	4637
318	2168	4628
319	2174	4619
320	2179	4610
321	2184	4600
322	2192	4594
323	2199	4588
324	2206	4582
325	2213	4576
326	2220	4569
327	2226	4561
328	2232	4552
329	2238	4544
330	2244	4535
331	2250	4527
332	2255	4518
333	2262	4511
334	2268	4502
335	2274	4494
336	2285	4497
337	2293	4491
338	2299	4483
339	2305	4475
340	2313	4470
341	2320	4463
342	2326	4457
343	2334	4450
344	2341	4445
345	2352	4446
346	2358	4439
347	2365	4431
348	2412	4500
349	2418	4491
350	2424	4482
351	2429	4473
352	2436	4465
353	2441	4456
354	2450	4451
355	2458	4448
356	2464	4439
357	2470	4430
358	2476	4421
359	2482	4413
360	2488	4404
361	2494	4397
362	2500	4387
363	2511	4388
364	2521	4387
365	2528	4379
366	2534	4370
367	2539	4362
368	2545	4353
369	2552	4346
370	2558	4338
371	2564	4328
372	2569	4319
373	2575	4310
374	2581	4303
375	2588	4295
376	2595	4289
377	2601	4280
378	2607	4272
379	2613	4263
380	2619	4255
381	2625	4248
382	2631	4239
383	2638	4232
384	2644	4224
385	2650	4215
386	2657	4209
387	2665	4204
388	2670	4195
389	2676	4186
390	2682	4177
391	2688	4169
392	2693	4160
393	2698	4150
394	2704	4142
395	2711	4135
396	2717	4126
397	2725	4121
398	2731	4114
399	2737	4106
400	2742	4097
401	2748	4088
402	2754	4079
403	2759	4071
404	2766	4064
405	2774	4059
406	2781	4053
407	2787	4044
408	2793	4036
409	2798	4027
410	2804	4019
411	2812	4014
412	2819	4007
413	2825	4000
414	2832	3992
415	2839	3986
416	2846	3979
417	2852	3972
418	2858	3963
419	2863	3954
420	2871	3948
421	2878	3942
422	2885	3935
423	2892	3930
424	2900	3923
425	2906	3915
426	2911	3907
427	2917	3898
428	2922	3890
429	2928	3881
430	2933	3873
431	2939	3864
432	2945	3856
433	2952	3850
434	2959	3844
435	2968	3839
436	2974	3831
437	2979	3822
438	2985	3814
439	2990	3806
440	2996	3798
441	3002	3790
442	3008	3782
443	3012	3772
444	3017	3763
445	3023	3755
446	3032	3751
447	3038	3743
448	3044	3735
449	3049	3727
450	3055	3718
451	3060	3710
452	3067	3703
453	3074	3696
454	3082	3692
455	3088	3684
456	3094	3676
457	3100	3669
458	3106	3661
459	3113	3654
460	3118	3646
461	3124	3638
462	3129	3629
463	3135	3621
464	3141	3614
465	3148	3608
466	3157	3603
467	3164	3596
468	3170	3589
469	3176	3581
470	3181	3573
471	3188	3566
472	3194	3559
473	3200	3551
474	3207	3545
475	3213	3537
476	3221	3532
477	3229	3526
478	3234	3518
479	3240	3510
480	3245	3502
481	3251	3494
482	3257	3486
483	3262	3478
484	3266	3468
485	3272	3461
486	3280	3455
487	3287	3448
488	3295	3443
489	3302	3436
490	3307	3428
491	3313	3421
492	3320	3414
493	3327	3408
494	3335	3403
495	3341	3395
496	3347	3387
497	3353	3380
498	3359	3372
499	3365	3365
500	3371	3358
501	3377	3350
502	3386	3345
503	3393	3339
504	3404	3337
505	3412	3331
506	3420	3325
507	3427	3319
508	3434	3313
509	3486	3349
510	3492	3342
511	3499	3335
512	3506	3329
513	3514	3323
514	3523	3318
515	3532	3313
516	3538	3306
517	3545	3298
518	3552	3292
519	3558	3284
520	3565	3277
521	3571	3270
522	3578	3263
523	3585	3257
524	3593	3251
525	3600	3244
526	3607	3237
527	3612	3229
528	3618	3221
529	3622	3212
530	3628	3204
531	3632	3195
532	3639	3189
533	3646	3182
534	3653	3175
535	3660	3168
536	3666	3161
537	3672	3153
538	3676	3144
539	3683	3137
540	3688	3129
541	3694	3122
542	3703	3117
543	3713	3112
544	3717	3103
545	3723	3096
546	3729	3088
547	3735	3081
548	3741	3073
549	3747	3066
550	3752	3058
551	3758	3050
552	3765	3043
553	3771	3036
554	3780	3030
555	3788	3024
556	3794	3018
557	3801	3011
558	3807	3003
559	3812	2995
560	3818	2988
561	3824	2980
562	3829	2972
563	3836	2966
564	3844	2959
565	3852	2953
566	3858	2946
567	3864	2939
568	3869	2931
569	3874	2922
570	3879	2915
571	3885	2907
572	3891	2900
573	3898	2893
574	3904	2886
575	3911	2879
576	3917	2872
577	3922	2863
578	3928	2856
579	3932	2847
580	3938	2840
581	3943	2832
582	3949	2824
583	3955	2817
584	3963	2811
585	3970	2805
586	3978	2799
587	3983	2790
588	3989	2783
589	3996	2777
590	4003	2770
591	4008	2762
592	4014	2755
593	4021	2748
594	4029	2742
595	4036	2736
596	4042	2728
597	4047	2721
598	4053	2713
599	4059	2706
600	4065	2699
601	4071	2691
602	4078	2684
603	4085	2678
604	4092	2671
605	4099	2665
606	4105	2657
607	4111	2650
608	4116	2643
609	4122	2635
610	4128	2628
611	4134	2621
612	4141	2614
613	4149	2608
614	4156	2602
615	4162	2594
616	4168	2587
617	4174	2580
618	4180	2573
619	4186	2565
620	4192	2558
621	4198	2551
622	4204	2544
623	4208	2536
624	4215	2529
625	4223	2523
626	4231	2517
627	4237	2510
628	4243	2502
629	4248	2495
630	4254	2487
631	4259	2480
632	4266	2473
633	4272	2466
634	4278	2459
635	4284	2451
636	4291	2445
637	4297	2438
638	4302	2430
639	4307	2422
640	4315	2417
641	4322	2410
642	4328	2403
643	4334	2396
644	4340	2389
645	4347	2382
646	4352	2374
647	4358	2367
648	4364	2360
649	4369	2352
650	4375	2345
651	4381	2338
652	4386	2331
653	4393	2324
654	4401	2318
655	4407	2311
656	4412	2303
657	4418	2296
658	4422	2288
659	4428	2281
660	4434	2274
661	4440	2267
662	4445	2259
663	4450	2252
664	4456	2245
665	4463	2238
666	4469	2231
667	4476	2225
668	4530	2241
669	4535	2233
670	4539	2225
671	4544	2217
672	4548	2210
673	4553	2202
674	4559	2195
675	4564	2187
676	4569	2180
677	4574	2172
678	4579	2164
679	4583	2156
680	4588	2149
681	4592	2141
682	4596	2133
683	4600	2125
684	4606	2118
685	4611	2110
686	4616	2103
687	4621	2095
688	4626	2088
689	4630	2080
690	4635	2072
691	4639	2065
692	4643	2057
693	4648	2049
694	4653	2042
695	4661	2035
696	4666	2028
697	4670	2020
698	4675	2013
699	4679	2005
700	4684	1998
701	4688	1990
702	4693	1982
703	4699	1975
704	4705	1969
705	4712	1962
706	4717	1955
707	4721	1947
708	4725	1939
709	4730	1932
710	4734	1924
711	4739	1916
712	4743	1909
713	4748	1901
714	4753	1894
715	4759	1887
716	4766	1881
717	4772	1874
718	4777	1867
719	4781	1859
720	4786	1852
721	4791	1844
722	4795	1837
723	4800	1830
724	4806	1823
725	4813	1816
726	4818	1809
727	4823	1802
728	4827	1794
729	4832	1787
730	4836	1779
731	4841	1772
732	4845	1764
733	4851	1758
734	4859	1751
735	4864	1744
736	4869	1737
737	4873	1730
738	4879	1723
739	4884	1716
740	4889	1708
741	4893	1701
742	4897	1694
743	4902	1686
744	4907	1679
745	4911	1672
746	4918	1665
747	4924	1658
748	4929	1651
749	4933	1644
750	4937	1637
751	4942	1629
752	4946	1622
753	4950	1615
754	4956	1608
755	4961	1601
756	4966	1594
757	4971	1587
758	4975	1579
759	4979	1572
760	4984	1565
761	4988	1558
762	4992	1550
763	4997	1543
764	5003	1536
765	5009	1530
766	5038	1530
767	5049	1525
768	5054	1518
769	5059	1511
770	5063	1503
771	5067	1496
772	5073	1489
773	5079	1483
774	5085	1476
775	5090	1469
776	5094	1462
777	5098	1454
778	5103	1447
779	5107	1440
780	5111	1433
781	5115	1426
782	5120	1418
783	5124	1411
784	5128	1404
785	5133	1397
786	5138	1390
787	5143	1383
788	5149	1377
789	5154	1370
790	5158	1362
791	5162	1355
792	5166	1348
793	5171	1341
794	5175	1334
795	5180	1327
796	5185	1320
797	5189	1313
798	5196	1307
799	5203	1300
800	5210	1294
801	5214	1287
802	5218	1280
803	5224	1273
804	5229	1266
805	5236	1260
806	5242	1253
807	5246	1246
808	5251	1239
809	5256	1233
810	5261	1226
811	5267	1219
812	5273	1213
813	5278	1206
814	5284	1199
815	5290	1192
816	5295	1186
817	5300	1179
818	5305	1172
819	5309	1165
820	5314	1158
821	5318	1151
822	5323	1144
823	5328	1138
824	5333	1131
825	5340	1124
826	5347	1118
827	5352	1111
828	5357	1105
829	5361	1098
830	5366	1091
831	5370	1084
832	5376	1077
833	5381	1071
834	5387	1064
835	5392	1057
836	5397	1051
837	5401	1044
838	5406	1037
839	5410	1030
840	5415	1023
841	5419	1016
842	5424	1010
843	5428	1003
