iter	Passed	Remaining
0	138	138528
1	144	71962
2	150	50052
3	157	39166
4	163	32533
5	172	28497
6	179	25401
7	184	22883
8	190	20933
9	195	19324
10	200	18010
11	205	16933
12	213	16234
13	220	15550
14	229	15046
15	234	14424
16	240	13900
17	245	13409
18	251	12963
19	256	12559
20	261	12193
21	266	11866
22	274	11657
23	280	11404
24	288	11255
25	293	11009
26	300	10814
27	305	10607
28	311	10420
29	318	10304
30	324	10144
31	334	10111
32	340	9987
33	351	9979
34	357	9869
35	363	9737
36	368	9600
37	374	9480
38	379	9360
39	384	9239
40	390	9128
41	398	9088
42	405	9018
43	411	8944
44	419	8895
45	425	8815
46	431	8747
47	438	8689
48	443	8602
49	448	8530
50	454	8452
51	459	8378
52	466	8336
53	473	8288
54	479	8240
55	485	8186
56	491	8128
57	497	8076
58	502	8012
59	507	7954
60	513	7902
61	518	7848
62	525	7819
63	532	7780
64	538	7747
65	546	7733
66	552	7695
67	558	7651
68	563	7604
69	568	7554
70	573	7509
71	579	7465
72	586	7447
73	592	7419
74	600	7404
75	606	7377
76	612	7343
77	617	7303
78	623	7267
79	628	7226
80	633	7189
81	639	7154
82	646	7146
83	654	7134
84	660	7110
85	666	7079
86	671	7045
87	676	7015
88	682	6987
89	688	6959
90	693	6930
91	698	6897
92	705	6882
93	715	6891
94	722	6882
95	728	6855
96	733	6826
97	738	6800
98	744	6773
99	749	6747
100	755	6727
101	762	6709
102	767	6681
103	772	6656
104	780	6653
105	790	6668
106	798	6666
107	804	6648
108	810	6627
109	816	6606
110	821	6582
111	827	6562
112	833	6543
113	840	6533
114	848	6529
115	856	6525
116	865	6530
117	871	6512
118	880	6520
119	886	6501
120	893	6488
121	902	6492
122	908	6477
123	918	6487
124	929	6504
125	935	6490
126	942	6477
127	948	6464
128	954	6444
129	961	6437
130	969	6428
131	976	6420
132	982	6404
133	990	6398
134	998	6396
135	1005	6388
136	1013	6383
137	1021	6379
138	1027	6366
139	1033	6349
140	1039	6333
141	1045	6318
142	1053	6313
143	1061	6310
144	1070	6313
145	1077	6301
146	1083	6289
147	1090	6277
148	1096	6264
149	1102	6249
150	1108	6231
151	1114	6215
152	1119	6199
153	1127	6193
154	1134	6183
155	1141	6177
156	1151	6182
157	1157	6167
158	1162	6148
159	1168	6132
160	1174	6119
161	1180	6105
162	1188	6103
163	1200	6117
164	1207	6110
165	1214	6102
166	1220	6087
167	1226	6075
168	1232	6062
169	1239	6049
170	1245	6037
171	1251	6025
172	1257	6010
173	1268	6019
174	1278	6026
175	1285	6017
176	1293	6013
177	1298	5996
178	1303	5980
179	1309	5967
180	1315	5951
181	1321	5938
182	1326	5924
183	1332	5909
184	1339	5899
185	1345	5890
186	1353	5882
187	1358	5869
188	1364	5855
189	1370	5843
190	1377	5832
191	1383	5822
192	1389	5812
193	1396	5803
194	1404	5796
195	1412	5792
196	1419	5785
197	1425	5773
198	1431	5760
199	1437	5749
200	1443	5737
201	1448	5723
202	1454	5711
203	1462	5705
204	1470	5701
205	1476	5690
206	1482	5678
207	1488	5666
208	1493	5652
209	1499	5641
210	1504	5627
211	1510	5613
212	1517	5605
213	1523	5595
214	1532	5595
215	1539	5587
216	1544	5573
217	1550	5562
218	1556	5550
219	1562	5538
220	1567	5524
221	1573	5515
222	1582	5512
223	1590	5511
224	1596	5499
225	1602	5487
226	1607	5474
227	1613	5463
228	1618	5450
229	1624	5437
230	1630	5426
231	1636	5418
232	1642	5407
233	1648	5395
234	1656	5391
235	1665	5391
236	1673	5387
237	1679	5376
238	1685	5366
239	1691	5355
240	1697	5344
241	1703	5334
242	1709	5324
243	1715	5314
244	1723	5311
245	1730	5302
246	1736	5294
247	1743	5286
248	1750	5280
249	1756	5270
250	1765	5268
251	1771	5259
252	1780	5258
253	1791	5262
254	1798	5253
255	1806	5248
256	1813	5244
257	1820	5236
258	1826	5225
259	1832	5215
260	1837	5203
261	1843	5192
262	1851	5187
263	1859	5183
264	1867	5180
265	1874	5171
266	1881	5164
267	1890	5163
268	1895	5150
269	1900	5139
270	1906	5127
271	1911	5115
272	1916	5102
273	1921	5091
274	1928	5083
275	1936	5079
276	1943	5073
277	1949	5063
278	1955	5052
279	1960	5042
280	1966	5032
281	1972	5021
282	1977	5010
283	1983	4999
284	1989	4992
285	1996	4985
286	2003	4976
287	2010	4971
288	2017	4964
289	2023	4954
290	2028	4943
291	2034	4932
292	2039	4920
293	2044	4909
294	2052	4904
295	2059	4898
296	2065	4888
297	2070	4878
298	2075	4867
299	2081	4856
300	2086	4844
301	2091	4833
302	2099	4828
303	2105	4820
304	2112	4812
305	2117	4802
306	2123	4793
307	2128	4783
308	2134	4772
309	2139	4763
310	2145	4752
311	2150	4743
312	2158	4738
313	2166	4733
314	2173	4726
315	2178	4716
316	2184	4706
317	2190	4698
318	2197	4690
319	2203	4681
320	2208	4672
321	2214	4663
322	2221	4655
323	2226	4644
324	2233	4638
325	2240	4632
326	2248	4626
327	2254	4618
328	2259	4609
329	2265	4600
330	2270	4589
331	2276	4580
332	2283	4573
333	2290	4567
334	2299	4563
335	2305	4556
336	2310	4546
337	2316	4536
338	2321	4527
339	2327	4517
340	2331	4506
341	2337	4497
342	2342	4487
343	2348	4479
344	2354	4471
345	2361	4463
346	2367	4456
347	2373	4447
348	2379	4438
349	2385	4430
350	2391	4422
351	2396	4412
352	2402	4402
353	2407	4393
354	2413	4385
355	2419	4376
356	2425	4368
357	2431	4360
358	2436	4350
359	2441	4340
360	2446	4331
361	2452	4321
362	2457	4312
363	2462	4303
364	2470	4297
365	2475	4288
366	2482	4281
367	2488	4273
368	2493	4264
369	2499	4255
370	2504	4246
371	2509	4237
372	2516	4229
373	2522	4222
374	2529	4216
375	2536	4208
376	2542	4200
377	2548	4192
378	2553	4183
379	2558	4174
380	2563	4165
381	2569	4156
382	2575	4148
383	2581	4141
384	2588	4134
385	2595	4128
386	2601	4121
387	2607	4112
388	2612	4103
389	2617	4094
390	2623	4086
391	2629	4077
392	2635	4071
393	2642	4063
394	2649	4058
395	2655	4050
396	2661	4043
397	2669	4037
398	2674	4028
399	2679	4019
400	2685	4010
401	2690	4002
402	2699	3999
403	2708	3995
404	2714	3987
405	2719	3978
406	2725	3971
407	2731	3962
408	2736	3953
409	2742	3946
410	2748	3939
411	2754	3931
412	2759	3922
413	2765	3914
414	2773	3910
415	2781	3904
416	2788	3897
417	2794	3890
418	2800	3883
419	2806	3875
420	2812	3867
421	2818	3859
422	2823	3851
423	2828	3843
424	2835	3836
425	2842	3829
426	2849	3823
427	2855	3816
428	2861	3808
429	2866	3800
430	2872	3792
431	2878	3785
432	2884	3777
433	2889	3768
434	2897	3763
435	2904	3757
436	2911	3751
437	2927	3756
